jahr,quartal,index_wohngebaeude,index_buerogebaeude,index_gewerbe,quelle
2015,1,87.4,87.9,87.6,Destatis-61261
2015,4,88.1,88.7,88.3,Destatis-61261
2016,4,89.6,90.2,89.9,Destatis-61261
2017,4,92.1,92.8,92.5,Destatis-61261
2018,4,96.4,97.0,96.7,Destatis-61261
2019,4,99.8,100.4,100.1,Destatis-61261
2020,4,100.6,101.2,100.9,Destatis-61261
2021,1,102.4,102.8,102.6,Destatis-61261
2021,2,105.7,106.0,105.8,Destatis-61261
2021,3,110.2,110.5,110.3,Destatis-61261
2021,4,115.6,115.8,115.7,Destatis-61261
2022,1,121.4,121.0,121.2,Destatis-61261
2022,2,128.3,127.5,127.9,Destatis-61261
2022,3,131.8,131.0,131.4,Destatis-61261
2022,4,134.6,133.7,134.1,Destatis-61261
2023,1,135.8,135.0,135.4,Destatis-61261
2023,2,136.4,135.7,136.0,Destatis-61261
2023,3,137.2,136.5,136.8,Destatis-61261
2023,4,138.0,137.3,137.6,Destatis-61261
2024,1,139.1,138.4,138.7,Destatis-61261
2024,2,140.3,139.6,139.9,Destatis-61261
2024,3,141.4,140.7,141.0,Destatis-61261
2024,4,142.6,141.9,142.2,Destatis-61261
2025,1,143.9,143.2,143.5,Destatis-61261-vorlaeufig
2025,2,145.3,144.6,144.9,Destatis-61261-vorlaeufig
2025,3,146.8,146.1,146.4,Destatis-61261-vorlaeufig
2025,4,148.4,147.7,148.0,Destatis-61261-vorlaeufig
2026,1,150.1,149.4,149.7,Prognose-ARIMA
2026,2,151.9,151.2,151.5,Prognose-ARIMA
